QUEST_20150317_000001	$Por favor, selecione o usuário solicitando a atualização da busca. 
QUEST_20150317_001110 {memo X}Exausta, Aiste logou chegou na estátua da Deusa Zemyna. {nl}Ela se prostou à sua frente e rezou para a representaçao da Estátua da Deusa, sua cabeça completamente abaixada. {nl}Oh, Deusa. Por favor devolva minhas moedas de prata perdidas.' {nl}Logo, enquanto oferecia suas orações, Aiste não conseguia mais se segurar em sua tristeza e ela finalmente chorou.
QUEST_20150317_001111 {memo X}Quanto tempo ela rezou chorando? {nl}Subitamente, Aiste ouviu uma voz dirigida a ela. {nl}'Minha criança, veio pegar de volta aquilo que você perdeu?'
QUEST_20150317_001112 $Aiste sabia em seu coração que era a Deusa Zemyna que se diriga a ela. {nl}Ela parou de chorar, limpou a voz e respondeu.
QUEST_20150317_001113 {memo X}A voz da Deusa foi ouvida novamente. {nl}'Aiste, o que você me pede não é um método que aprovo. Aonde eu reino não há colheita nem frutas para aqueles que não trabalham.'
QUEST_20150317_001114 {memo X}'Mas eu trabalhei muito duro hoje!'
QUEST_20150317_001115 {memo X}'Eu sei. Por isso, eu darei a você e aos outros uma chance. Olhe debaixo de seus pés.'
QUEST_20150317_001116 $A voz da Deusa desapareceu com aquelas palavras, e Aiste encontrou moedas de prata debaixo de seus pés. {nl}Ela olhou para onde a Deusa tinha deixado suas moedas e descobriu que as lágrimas que derramou tinham se transformado em moedas. {nl}Aiste estava muito feliz, e fez questão de pegar toda prata antes de sair.
QUEST_20150317_001117 {memo X}Depois de alguns passos, Aiste pensou sobre o ourives, {nl}e, novamente, foi até sua casa e bateu na porta. {nl}Como se o ourives já estivesse esperando pelo seu retorno, ele abriu a porta e disse imediatamente. {nl}Me desculpe, eu me arrependo de ter te mandado embora daquela forma. Eu irei lhe dar alguma prata. {nl} Desta vez, tenha cuidado para não deixar cair tudo e chegar em casa com segurança.'
QUEST_20150317_001118 {memo X}Enquanto o ourives estendia suas moedas de prata, Aiste balançou a cabeça e disse, {nl}'Não obrigado, a Deusa devolveu todas as minhas moedas. Na verdade, ela me deu ainda mais. {nl}Eu lembro de você dizendo que você também perdeu prata, então eu vim aqui para lhe entregar minhas moedas extras. Você não precisa me dar as suas.'
QUEST_20150317_001119 {memo X}De início, o ourives estava cético sobre as moedas serem devolvidas, {nl}então ele ficou surpreso quando Aiste lhe mostrou moedas genuínas. Depois de pensar por um tempo, o ourives disse, {nl}'Então que tal isto. Você me dá o que você quiser enquanto aceita o que eu estava prestes a lhe dar. {nl}Não é justo? Além disso, eu também lhe darei uma bolsa para carregar sua prata extra.'
QUEST_20150317_001120 $Aiste agradeceu e deu suas moedas extras para o ourives. {nl}Depois disto, o ourives deu a Aiste sua bolsa de moedas.
QUEST_20150317_001121 {memo X}Depois de deixar a casa do ourives, {nl}Aiste subitamente lembrou que o velho mendigo ainda deveria estar procurando por suas moedas e se preocupou com ele. {nl}Em seu caminho para encontrar o mendigo, ela encontrou o proprietário do pomar novamente. {nl}Ao ver Aiste, o proprietário do pomar estava radiante. {nl}'Eu estava procurando por você. Me desculpe por ter lhe mandado embora antes. Como um pedido de desculpas, eu irei lhe dar seu salário novamente. {nl} Por favor, tenha cuidado para não perder ele novamente.'
QUEST_20150317_001122 {memo X}O proprietário do pomar pegou uma grande quantidade de moedas, mais do que o próprio salário de Aiste, e entregou a ela. [nl]No entanto, Aiste balançou sua cabeça e disse, {nl}'A Deusa Zemyna já me devolveu meu dinheiro. O ourives também me ajudou, então na verdade agora eu já tenho muito. {nl}Aqui, dê uma olhada.'
QUEST_20150317_001123 $Dizendo isto, Aiste abriu a bolsa de moedas que ela conseguiu com o ourives e mostrou para o proprietário do pomar. {nl}Ele ficou extremamente surpreso, já que o montante de dinheiro que ela conseguiu da Deusa e do ourives ultrapassou a quantia que ele tinha.
QUEST_20150317_001124 {memo X}Desconsiderando o montante que Aiste havia lhe mostrado, o proprietário do pomar disse, {nl}'Bem, mesmo assim, eu me sentiria envergonhado se não lhe entregasse minha contribuição, então por favor apenas pegue isto.' {nl}Depois de dizer isto, o proprietário do pomar enfiou suas moedas na bolsa de Aiste e foi embora. {nl}No tempo que Aiste conseguiu reunir energia para chamar pelo proprietário do pomar, ele já estava longe demais.
QUEST_20150317_001125 {memo X}Ela hesitou por um momento mas então recolocou sua mente no mendigo. {nl}Depois de um pouco caminhar, Aiste chegou aonde eles tinham se encontrado. O velho mendigo a viu primeiro e correu para ela. {nl}Ele mostrou-lhe as moedas de prata que estava apertando junto a si e disse, 'Olhe! Eu encontrei sua prata perdida.' {nl}Aiste recebeu a prata do mendigo e então mostrou a ele sua bolsa e disse, {nl}Olhe, eu encontrei suas moedas de prata também.'
QUEST_20150317_001126 $Embora o mendigo estivesse exausto, ele juntou suas mãos para receber suas moedas de volta. {nl}Vendo isto Aiste foi levada à beira das lágrimas. {nl}Ela imaginou quanto o mendigo teve de implorar e pedir para dar a ela suas moedas de volta. {nl}Com o coração pesado, Aiste deu ao mendigo as moedas.
QUEST_20150317_001127 {memo X}Depois disto, Aiste também lhe entregou sua bolsa e disse, {nl}'Este é um presente como agradecimento por porcurar por minhas moedas. Eu recebi isto pelas graças da Deusa Zemyna.' {nl}Aiste então partiu antes que o mendigo pudesse descobrir como responder.
QUEST_20150317_001128 $O mendigo olhou para a sombra distante de Aiste, e abriu a bolsa de presentes que Aiste havia lhe dado, {nl}curioso pelo que tinha dentro. Dentro, ele ficou surpreso de encontrar dúzias de moedas de prata. {nl}Agora ele entendia porque Aiste foi capaz de partir muito mais rápido do que quando havia chegado. Ela tinha aliviado sua carga, dando-lhe o excesso.
QUEST_20150317_001129 $Para um mendigo, que havia sido mesquinho por uma única moeda de prata, o fato de Aiste ter simplesmente lhe doado várias dezenas de vezes aquela quantia o comoveu. {nl}O fato de Aiste, que saiu em busca e resolveu o mistério de Fedimian, voltar e lhe entregar o que realmente não tinha obrigação de entregar, fez o mendigo se sentir muito grato.
QUEST_20150317_001130 $Quanto mais ele pensava, menos o mendigo conseguia segurar suas lágrimas. {nl}Enquanto chorava, ele notou algo esquisito - cada lágrima brilhante que tocou o solo transformadas em moedas de prata.
QUEST_20150317_001131 $O mendigo não podia acreditar em seus olhos, mas rapidamente lembrou das palavras de Aiste sobre a benção da Deusa. {nl}Depois de um tempo, o mendigo parou de chorar, e foi colher suas moedas e colocá-las na bolsa que Aiste lhe deu.
QUEST_20150317_001132 $Poucos dias depois, o mendigo foi até a estátua para qual Aiste rezou. Lá, ele pegou uma moeda da bolsa para manter consigo, e ofereceu o resto para a Estátua da Deusa. {nl}Ele então rezou para a Deusa do fundo do seu coração e partiu. Enquanto o dinheiro que ele ofereceu desaparecia, o mendigo novamente se derramou em lágrimas, mas esta é outra história.
QUEST_20150317_001133 $Depois de alguns dias, um estranho rumor se espalhou por Fedimian. {nl}O rumor de que a prata não mais desapareciam ao cair no solo de Fedimian. {nl}O rumor não caiu bem de início com os mais velhos, pessoas experientes, mas alguns testaram o rumor com uma quantidade irrisória de prata, {nl}e acabou que era verdade. Todos concordaram que o misterioso fenônemo de Fedimian tinha chegado ao fim.
QUEST_20150317_001134 $Depois de um tempo, palavras deste ocorrido chegaram ao Rei. Curioso do por que isto aconteceu, o Rei ordenou uma investigação. {nl}A verdade secreta veio à luz, e a história de Aiste ficou conhecida.
QUEST_20150317_001135 $O Rei louvou as pessoas que causaram este milagre com seus corações caridosos. {nl}Adicionalmente, para honrar a graça da Deusa, ele decidiu utilizar o tesouro nacional para construir uma grande estátua dedicada a ela.
QUEST_20150317_001136 $No dia que a estátua foi finalmente completada, {nl}alguma coisa miraculosa aconteceu enquanto o Rei e Aiste foram juntos fazer a primeira oferenda. {nl}Em volta da estátua brotaram moedas - todas as moedas que foram perdidas pelos #pending Fedimians até aquele momento.
QUEST_20150317_001137 $Após um debate caloroso, o povo de Fedimian decidiram não acumular suas moedas perdidas. {nl}Em vez disso, eles pediram para o Rei coletar todas elas e distribuir entre os pobres do Reino. {nl}O Rei prontamente concordou, e deu a ordem para gravar este lindo evento na história do Reino.
QUEST_20150317_001138 $Mesmo agora, ninguém sabe quando ou como o misterioso fenômeno de Fedimian começou, {nl}mas todos sabem quando, como, e quem ajudou a desvendar o mistério. {nl}Foi através da bondade de Aiste e das pessoas que a ajudaram, e também através da graça da Deusa, que o mistério chegou ao fim.
QUEST_20150317_001139 
QUEST_20150317_001140
QUEST_20150317_001141
QUEST_20150317_001142
QUEST_20150317_001143
QUEST_20150317_001144
QUEST_20150317_001145
QUEST_20150317_001146
QUEST_20150317_001147
QUEST_20150317_001148
QUEST_20150317_001149
QUEST_20150317_001150
QUEST_20150317_001151
QUEST_20150317_001152
QUEST_20150317_001153
QUEST_20150317_001154
QUEST_20150317_001155
QUEST_20150317_001156
QUEST_20150317_001157
QUEST_20150317_001158
QUEST_20150317_001159
QUEST_20150317_001160
QUEST_20150317_001161
QUEST_20150317_001162
QUEST_20150317_001163
QUEST_20150317_001164
QUEST_20150317_001165
QUEST_20150317_001166
QUEST_20150317_001167
QUEST_20150317_001168
QUEST_20150317_001169
QUEST_20150317_001170
QUEST_20150317_001171
QUEST_20150317_001172
QUEST_20150317_001173
QUEST_20150317_001174
QUEST_20150317_001175
QUEST_20150317_001176
QUEST_20150317_001177
QUEST_20150317_001178
QUEST_20150317_001179
QUEST_20150317_001180
QUEST_20150317_001181
QUEST_20150317_001182
QUEST_20150317_001183
QUEST_20150317_001184
QUEST_20150317_001185
QUEST_20150317_001186
QUEST_20150317_001187
QUEST_20150317_001188
QUEST_20150317_001189
QUEST_20150317_001190
QUEST_20150317_001191
QUEST_20150317_001192
QUEST_20150317_001193
QUEST_20150317_001194
QUEST_20150317_001195
QUEST_20150317_001196
QUEST_20150317_001197
QUEST_20150317_001199
QUEST_20150317_001200
QUEST_20150317_001201
QUEST_20150317_001202
QUEST_20150317_001203
QUEST_20150317_001204
QUEST_20150317_001205
QUEST_20150317_001206
QUEST_20150317_001207
QUEST_20150317_001208
QUEST_20150317_001209
QUEST_20150317_001210
QUEST_20150317_001211
QUEST_20150317_001212
QUEST_20150317_001213
QUEST_20150317_001214
QUEST_20150317_001215
QUEST_20150317_001216
QUEST_20150317_001217
QUEST_20150317_001218
QUEST_20150317_001219
QUEST_20150317_001220
QUEST_20150317_001221
QUEST_20150317_001222
QUEST_20150317_001223
QUEST_20150317_001224
QUEST_20150317_001225
QUEST_20150317_001226
QUEST_20150317_001227
QUEST_20150317_001228
QUEST_20150317_001229
QUEST_20150317_001230
QUEST_20150317_001231
QUEST_20150317_001232
QUEST_20150317_001233
QUEST_20150317_001234
QUEST_20150317_001235
QUEST_20150317_001236
QUEST_20150317_001237
QUEST_20150317_001238
QUEST_20150317_001239
QUEST_20150317_001240
QUEST_20150317_001241
QUEST_20150317_001242
QUEST_20150317_001243
QUEST_20150317_001244
QUEST_20150317_001245
QUEST_20150317_001246
QUEST_20150317_001247
QUEST_20150317_001248
QUEST_20150317_001249
QUEST_20150317_001250
QUEST_20150317_001251
QUEST_20150317_001252
QUEST_20150317_001253
QUEST_20150317_001254
QUEST_20150317_001255
QUEST_20150317_001256
QUEST_20150317_001257
QUEST_20150317_001258
QUEST_20150317_001259
QUEST_20150317_001260
QUEST_20150317_001261
QUEST_20150317_001262
QUEST_20150317_001263
QUEST_20150317_001264
QUEST_20150317_001265
QUEST_20150317_001266
QUEST_20150317_001267
QUEST_20150317_001268
QUEST_20150317_001269
QUEST_20150317_001270
QUEST_20150317_001271
QUEST_20150317_001272
QUEST_20150317_001273
QUEST_20150317_001274
QUEST_20150317_001275
QUEST_20150317_001276
QUEST_20150317_001277
QUEST_20150317_001278
QUEST_20150317_001279
QUEST_20150317_001280
QUEST_20150317_001281
QUEST_20150317_001282
QUEST_20150317_001283
QUEST_20150317_001284
QUEST_20150317_001285
QUEST_20150317_001286
QUEST_20150317_001287
QUEST_20150317_001288
QUEST_20150317_001289
QUEST_20150317_001290
QUEST_20150317_001291
QUEST_20150317_001292
QUEST_20150317_001293
QUEST_20150317_001294
QUEST_20150317_001295
QUEST_20150317_001296
QUEST_20150317_001297
QUEST_20150317_001298
QUEST_20150317_001299
QUEST_20150317_001300
QUEST_20150317_001301
QUEST_20150317_001302
QUEST_20150317_001303
QUEST_20150317_001304
QUEST_20150317_001305
QUEST_20150317_001306
QUEST_20150317_001307
QUEST_20150317_001308
QUEST_20150317_001309
QUEST_20150317_001310
QUEST_20150317_001311
QUEST_20150317_001312
QUEST_20150317_001313
QUEST_20150317_001314
QUEST_20150317_001315
QUEST_20150317_001316
QUEST_20150317_001317
QUEST_20150317_001318
QUEST_20150317_001319
QUEST_20150317_001320
QUEST_20150317_001321
QUEST_20150317_001322
QUEST_20150317_001323
QUEST_20150317_001324
QUEST_20150317_001325
QUEST_20150317_001326
QUEST_20150317_001327
QUEST_20150317_001328
QUEST_20150317_001329
QUEST_20150317_001330
QUEST_20150317_001331
QUEST_20150317_001332
QUEST_20150317_001333
QUEST_20150317_001334
QUEST_20150317_001335
QUEST_20150317_001336
QUEST_20150317_001337
QUEST_20150317_001338
QUEST_20150317_001339
QUEST_20150317_001340
QUEST_20150317_001341
QUEST_20150317_001342
QUEST_20150317_001343
QUEST_20150317_001344
QUEST_20150317_001345
QUEST_20150317_001346
QUEST_20150317_001347
QUEST_20150317_001348
QUEST_20150317_001349
QUEST_20150317_001350
QUEST_20150317_001351
QUEST_20150317_001352
QUEST_20150317_001353
QUEST_20150317_001354
QUEST_20150317_001355
QUEST_20150317_001356
QUEST_20150317_001357
QUEST_20150317_001358
QUEST_20150317_001359
QUEST_20150317_001360
QUEST_20150317_001361
QUEST_20150317_001362
QUEST_20150317_001363
QUEST_20150317_001364
QUEST_20150317_001365
QUEST_20150317_001366
QUEST_20150317_001367
QUEST_20150317_001368
QUEST_20150317_001369
QUEST_20150317_001370
QUEST_20150317_001371
QUEST_20150317_001372
QUEST_20150317_001373
QUEST_20150317_001374
QUEST_20150317_001375
QUEST_20150317_001376
QUEST_20150317_001377
QUEST_20150317_001378
QUEST_20150317_001379
QUEST_20150317_001380
QUEST_20150317_001381
QUEST_20150317_001382
QUEST_20150317_001383
QUEST_20150317_001384
QUEST_20150317_001385
QUEST_20150317_001386
QUEST_20150317_001387
QUEST_20150317_001388
QUEST_20150317_001389
QUEST_20150317_001390
QUEST_20150317_001391
QUEST_20150317_001392
QUEST_20150317_001393
QUEST_20150317_001394
QUEST_20150317_001395
QUEST_20150317_001396
QUEST_20150317_001397
QUEST_20150317_001398
QUEST_20150317_001399
QUEST_20150317_001400
QUEST_20150317_001401
QUEST_20150317_001402
QUEST_20150317_001403
QUEST_20150317_001404
QUEST_20150317_001405
QUEST_20150317_001406
QUEST_20150317_001407
QUEST_20150317_001408
QUEST_20150317_001409
QUEST_20150317_001410
QUEST_20150317_001411
QUEST_20150317_001412
QUEST_20150317_001413
QUEST_20150317_001414
QUEST_20150317_001415
QUEST_20150317_001416
QUEST_20150317_001417
QUEST_20150317_001418
QUEST_20150317_001419
QUEST_20150317_001420
QUEST_20150317_001421
QUEST_20150317_001422
QUEST_20150317_001423
QUEST_20150323_001424
QUEST_20150323_001425
QUEST_20150323_001426
QUEST_20150323_001427
QUEST_20150323_001428
QUEST_20150323_001429
QUEST_20150323_001430
QUEST_20150323_001431
QUEST_20150323_001432
QUEST_20150323_001433
QUEST_20150323_001434
QUEST_20150323_001435
QUEST_20150323_001436
QUEST_20150323_001437
QUEST_20150323_001438
QUEST_20150323_001439
QUEST_20150323_001440
QUEST_20150323_001441
QUEST_20150323_001442
QUEST_20150323_001443
QUEST_20150323_001444
QUEST_20150323_001445
QUEST_20150323_001446
QUEST_20150323_001447
QUEST_20150323_001448
QUEST_20150323_001449
QUEST_20150323_001450
QUEST_20150323_001451
QUEST_20150323_001452
QUEST_20150323_001453
QUEST_20150323_001454
QUEST_20150323_001455
QUEST_20150323_001456
QUEST_20150323_001457
QUEST_20150323_001458
QUEST_20150323_001459
QUEST_20150323_001460
QUEST_20150323_001461
QUEST_20150323_001462
QUEST_20150323_001463
QUEST_20150323_001464
QUEST_20150323_001465
QUEST_20150323_001466
QUEST_20150323_001467
QUEST_20150323_001468
QUEST_20150323_001469
QUEST_20150323_001470
QUEST_20150323_001471
QUEST_20150323_001472
QUEST_20150323_001473
QUEST_20150323_001474
QUEST_20150323_001475
QUEST_20150323_001476
QUEST_20150323_001477
QUEST_20150323_001478
QUEST_20150323_001479
QUEST_20150323_001480
QUEST_20150323_001481
QUEST_20150323_001482
QUEST_20150323_001483
QUEST_20150323_001484
QUEST_20150323_001485
QUEST_20150323_001486
QUEST_20150323_001487
QUEST_20150323_001488
QUEST_20150323_001489
QUEST_20150323_001490
QUEST_20150323_001491
QUEST_20150323_001492
QUEST_20150323_001493
QUEST_20150323_001494
QUEST_20150323_001495
QUEST_20150323_001496
QUEST_20150323_001497
QUEST_20150323_001498
QUEST_20150323_001499
QUEST_20150323_001500
QUEST_20150323_001501
QUEST_20150323_001502
QUEST_20150323_001503
QUEST_20150323_001504
QUEST_20150323_001505
QUEST_20150323_001506
QUEST_20150323_001507
QUEST_20150323_001508
QUEST_20150323_001509
QUEST_20150323_001510
QUEST_20150323_001511
QUEST_20150323_001512
QUEST_20150323_001513
QUEST_20150323_001514
QUEST_20150323_001515
QUEST_20150323_001516
QUEST_20150323_001517
QUEST_20150323_001518
QUEST_20150323_001519
QUEST_20150323_001520
QUEST_20150323_001521
QUEST_20150323_001522
QUEST_20150323_001523
QUEST_20150323_001524
QUEST_20150323_001525
QUEST_20150323_001526
QUEST_20150323_001527
QUEST_20150323_001528
QUEST_20150323_001529
QUEST_20150323_001530
QUEST_20150323_001531
QUEST_20150323_001532
QUEST_20150323_001533
QUEST_20150323_001534
QUEST_20150323_001535
QUEST_20150323_001536
QUEST_20150323_001537
QUEST_20150323_001538
QUEST_20150323_001539
QUEST_20150323_001540
QUEST_20150323_001541
QUEST_20150323_001542
QUEST_20150323_001543
QUEST_20150323_001544
QUEST_20150323_001545
QUEST_20150323_001546
QUEST_20150323_001547
QUEST_20150323_001548
QUEST_20150323_001549
QUEST_20150323_001550
QUEST_20150323_001551
QUEST_20150323_001552
QUEST_20150323_001553
QUEST_20150323_001554
QUEST_20150323_001555
QUEST_20150323_001556
QUEST_20150323_001557
QUEST_20150323_001558
QUEST_20150323_001559
QUEST_20150323_001560
QUEST_20150323_001561
QUEST_20150323_001562
QUEST_20150323_001563
QUEST_20150323_001564
QUEST_20150323_001565
QUEST_20150323_001566
QUEST_20150323_001567
QUEST_20150323_001568
QUEST_20150323_001569
QUEST_20150323_001570
QUEST_20150323_001571
QUEST_20150323_001572
QUEST_20150323_001573
QUEST_20150323_001574
QUEST_20150323_001575
QUEST_20150323_001576
QUEST_20150323_001577
QUEST_20150323_001578
QUEST_20150323_001579
QUEST_20150323_001580
QUEST_20150323_001581
QUEST_20150323_001582
QUEST_20150323_001583
QUEST_20150323_001584
QUEST_20150323_001585
QUEST_20150323_001586
QUEST_20150323_001587
QUEST_20150323_001588
QUEST_20150323_001589
QUEST_20150323_001590
QUEST_20150323_001591
QUEST_20150323_001592
QUEST_20150323_001593
QUEST_20150323_001594
QUEST_20150323_001595
QUEST_20150323_001596
QUEST_20150323_001597
QUEST_20150323_001598
QUEST_20150323_001599
QUEST_20150323_001600
QUEST_20150323_001601
QUEST_20150323_001602
QUEST_20150323_001603
QUEST_20150323_001604
QUEST_20150323_001605
QUEST_20150323_001606
QUEST_20150323_001607
QUEST_20150323_001608
QUEST_20150323_001609
QUEST_20150323_001610
QUEST_20150323_001611
QUEST_20150323_001612
QUEST_20150323_001613
QUEST_20150323_001614
QUEST_20150323_001615
QUEST_20150323_001616
QUEST_20150323_001617
QUEST_20150323_001618
QUEST_20150323_001619
QUEST_20150323_001620
QUEST_20150323_001621
QUEST_20150323_001622
QUEST_20150323_001623
QUEST_20150323_001624
QUEST_20150323_001625
QUEST_20150323_001626
QUEST_20150323_001627
QUEST_20150323_001628
QUEST_20150323_001629
QUEST_20150323_001630
QUEST_20150323_001631
QUEST_20150323_001632
QUEST_20150323_001633
QUEST_20150323_001634
QUEST_20150323_001635
QUEST_20150323_001636
QUEST_20150323_001637
QUEST_20150323_001638
QUEST_20150323_001639
QUEST_20150323_001640
QUEST_20150323_001641
QUEST_20150323_001642
QUEST_20150323_001643
QUEST_20150323_001644
QUEST_20150323_001645
QUEST_20150323_001646
QUEST_20150323_001647
QUEST_20150323_001648
QUEST_20150323_001649
QUEST_20150323_001650
QUEST_20150323_001651
QUEST_20150323_001652
QUEST_20150323_001653
QUEST_20150323_001654
QUEST_20150323_001655
QUEST_20150323_001656
QUEST_20150323_001657
QUEST_20150323_001658
QUEST_20150323_001659
QUEST_20150323_001660
QUEST_20150323_001661
QUEST_20150323_001662
QUEST_20150323_001663
QUEST_20150323_001664
QUEST_20150323_001665
QUEST_20150323_001666
QUEST_20150323_001667
QUEST_20150323_001668
QUEST_20150323_001669
QUEST_20150323_001670
QUEST_20150323_001671
QUEST_20150323_001672
QUEST_20150323_001673
QUEST_20150323_001674
QUEST_20150323_001675
QUEST_20150323_001676
QUEST_20150323_001677
QUEST_20150323_001678
QUEST_20150323_001679
QUEST_20150323_001680
QUEST_20150323_001681
QUEST_20150323_001682
QUEST_20150323_001683
QUEST_20150323_001684
QUEST_20150323_001685
QUEST_20150323_001686
QUEST_20150323_001687
QUEST_20150323_001688
QUEST_20150323_001689
QUEST_20150323_001691
QUEST_20150323_001692
QUEST_20150323_001693
QUEST_20150323_001694
QUEST_20150323_001695
QUEST_20150323_001696
QUEST_20150323_001697
QUEST_20150323_001698
QUEST_20150323_001699
QUEST_20150323_001700
QUEST_20150323_001701
QUEST_20150323_001702
QUEST_20150323_001703
QUEST_20150323_001704
QUEST_20150323_001705
QUEST_20150323_001706
QUEST_20150323_001707
QUEST_20150323_001708
QUEST_20150323_001709
QUEST_20150323_001710
QUEST_20150323_001711
QUEST_20150323_001712
QUEST_20150323_001713
QUEST_20150323_001714
QUEST_20150323_001715
QUEST_20150323_001716
QUEST_20150401_001717
QUEST_20150401_001718
QUEST_20150401_001719
QUEST_20150401_001720
QUEST_20150401_001721
QUEST_20150401_001722
QUEST_20150401_001723
QUEST_20150401_001724
QUEST_20150401_001725
QUEST_20150401_001726
QUEST_20150401_001727
QUEST_20150401_001728
QUEST_20150401_001729
QUEST_20150401_001730
QUEST_20150401_001731
QUEST_20150401_001732
QUEST_20150401_001733
QUEST_20150401_001734
QUEST_20150401_001735
QUEST_20150401_001736
QUEST_20150401_001737
QUEST_20150401_001738
QUEST_20150401_001739
QUEST_20150401_001740
QUEST_20150401_001741
QUEST_20150401_001742
QUEST_20150401_001743
QUEST_20150401_001744
QUEST_20150401_001745
QUEST_20150401_001746
QUEST_20150401_001747
QUEST_20150401_001748
QUEST_20150401_001749
QUEST_20150401_001750
QUEST_20150401_001751
QUEST_20150401_001752
QUEST_20150401_001753
QUEST_20150401_001754
QUEST_20150401_001755
QUEST_20150401_001756
QUEST_20150401_001757
QUEST_20150401_001758
QUEST_20150401_001759
QUEST_20150401_001760
QUEST_20150401_001761
QUEST_20150401_001762
QUEST_20150401_001763
QUEST_20150401_001764
QUEST_20150401_001765
QUEST_20150401_001766
QUEST_20150401_001768
QUEST_20150406_001769
QUEST_20150406_001770
QUEST_20150406_001771
QUEST_20150406_001772
QUEST_20150406_001773
QUEST_20150406_001774
QUEST_20150406_001775
QUEST_20150406_001776
QUEST_20150406_001777
QUEST_20150406_001778
QUEST_20150406_001779
QUEST_20150406_001780
QUEST_20150406_001781
QUEST_20150406_001782
QUEST_20150406_001783
QUEST_20150406_001784
QUEST_20150406_001785
QUEST_20150406_001786
QUEST_20150406_001787
QUEST_20150406_001788
QUEST_20150406_001789
QUEST_20150406_001790
QUEST_20150406_001791
QUEST_20150406_001792
QUEST_20150406_001793
QUEST_20150406_001794
QUEST_20150406_001795
QUEST_20150406_001796
QUEST_20150406_001797
QUEST_20150406_001798
QUEST_20150406_001800
QUEST_20150414_001801
QUEST_20150414_001802
QUEST_20150414_001803
QUEST_20150414_001804
QUEST_20150414_001805
QUEST_20150414_001806
QUEST_20150414_001807
QUEST_20150414_001808
QUEST_20150414_001809
QUEST_20150414_001810
QUEST_20150414_001811
QUEST_20150414_001812
QUEST_20150414_001813
QUEST_20150414_001814
QUEST_20150414_001815
QUEST_20150414_001816
QUEST_20150414_001817
QUEST_20150414_001818
QUEST_20150414_001819
QUEST_20150414_001820
QUEST_20150414_001821
QUEST_20150414_001822
QUEST_20150414_001823
QUEST_20150414_001824
QUEST_20150414_001825
QUEST_20150414_001826
QUEST_20150414_001827
QUEST_20150414_001828
QUEST_20150414_001829
QUEST_20150414_001830
QUEST_20150414_001831
QUEST_20150414_001832
QUEST_20150414_001833
QUEST_20150414_001834
QUEST_20150414_001835
QUEST_20150414_001836
QUEST_20150414_001837
QUEST_20150414_001838
QUEST_20150414_001839
QUEST_20150414_001840
QUEST_20150414_001841
QUEST_20150414_001842
QUEST_20150414_001843
QUEST_20150414_001844
QUEST_20150414_001845
QUEST_20150414_001846
QUEST_20150414_001847
QUEST_20150414_001848
QUEST_20150414_001849
QUEST_20150414_001850
QUEST_20150414_001851
QUEST_20150414_001852
QUEST_20150414_001853
QUEST_20150414_001854
QUEST_20150414_001855
QUEST_20150414_001856
QUEST_20150414_001857
QUEST_20150414_001858
QUEST_20150414_001859
QUEST_20150414_001860
QUEST_20150414_001861
QUEST_20150414_001862
QUEST_20150414_001863
QUEST_20150414_001864
QUEST_20150414_001865
QUEST_20150414_001866
QUEST_20150414_001867
QUEST_20150414_001868
QUEST_20150414_001869
QUEST_20150414_001870
QUEST_20150414_001871
QUEST_20150414_001872
QUEST_20150414_001873
QUEST_20150414_001874
QUEST_20150414_001875
QUEST_20150414_001876
QUEST_20150414_001877
QUEST_20150414_001878
QUEST_20150414_001879
QUEST_20150414_001880
QUEST_20150414_001881
QUEST_20150414_001882
QUEST_20150414_001883
QUEST_20150414_001884
QUEST_20150414_001885
QUEST_20150414_001886
QUEST_20150414_001887
QUEST_20150414_001888
QUEST_20150414_001889
QUEST_20150414_001890
QUEST_20150414_001891
QUEST_20150428_001892
QUEST_20150428_001893
QUEST_20150428_001894
QUEST_20150428_001895
QUEST_20150428_001896
QUEST_20150428_001897
QUEST_20150428_001898
QUEST_20150428_001899
QUEST_20150428_001900
QUEST_20150428_001901
QUEST_20150428_001902
QUEST_20150428_001903
QUEST_20150428_001904
QUEST_20150428_001905
QUEST_20150428_001906
QUEST_20150428_001907
QUEST_20150428_001908
QUEST_20150428_001909
QUEST_20150428_001910
QUEST_20150428_001911
QUEST_20150428_001912
QUEST_20150428_001913
QUEST_20150428_001914
QUEST_20150428_001915
QUEST_20150428_001916
QUEST_20150428_001917
QUEST_20150428_001918
QUEST_20150428_001919
QUEST_20150428_001920
QUEST_20150428_001921
QUEST_20150428_001922
QUEST_20150428_001923
QUEST_20150428_001924
QUEST_20150428_001925
QUEST_20150428_001926
QUEST_20150428_001927
QUEST_20150428_001928
QUEST_20150428_001929
QUEST_20150428_001930
QUEST_20150428_001931
QUEST_20150428_001932
QUEST_20150428_001933
QUEST_20150428_001934
QUEST_20150428_001935
QUEST_20150428_001936
QUEST_20150428_001937
QUEST_20150428_001938
QUEST_20150428_001939
QUEST_20150428_001940
QUEST_20150428_001941
QUEST_20150428_001942
QUEST_20150428_001943
QUEST_20150428_001944
QUEST_20150428_001945
QUEST_20150428_001946
QUEST_20150428_001947
QUEST_20150428_001948
QUEST_20150428_001949
QUEST_20150428_001950
QUEST_20150428_001951
QUEST_20150428_001952
QUEST_20150428_001953
QUEST_20150428_001954
QUEST_20150428_001955
QUEST_20150428_001956
QUEST_20150428_001957
QUEST_20150428_001958
QUEST_20150428_001959
